timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.012,35.21,20.01,1019.44,27407,377.21,2950,41,15,4,0.549,-0.078,9.807,47.250,-12.300,-12.826
2.070,35.23,20.22,1019.45,12181,377.21,2949,41,15,4,0.510,-0.196,9.493,47.550,-12.150,-12.100
4.134,35.26,20.14,1019.45,18048,373.78,2942,41,15,4,0.510,0.039,9.571,47.400,-12.600,-11.616
6.181,35.28,19.91,1019.45,22746,376.04,2953,41,15,4,0.431,-0.118,9.767,47.250,-12.750,-11.858
8.234,35.31,19.74,1019.46,27944,376.93,2946,41,15,4,0.235,-0.078,8.865,48.150,-12.450,-12.100
10.289,35.33,19.64,1019.45,31281,334.65,2932,42,15,4,0.431,-0.118,9.650,47.400,-12.000,-11.858
12.340,35.36,19.54,1019.44,34206,343.34,2934,42,15,4,0.510,-0.196,9.767,46.950,-12.150,-11.616
14.394,35.37,19.50,1019.44,36581,342.79,2935,42,15,4,0.510,-0.157,9.728,47.100,-12.000,-12.100
16.453,35.39,19.46,1019.44,38557,331.63,2924,42,15,4,0.471,-0.157,9.807,47.250,-11.700,-12.584
18.505,35.42,19.42,1019.44,40386,341.25,2934,42,15,4,0.471,-0.118,9.728,47.400,-12.150,-12.342
20.555,35.45,19.38,1019.44,42075,326.28,2980,42,15,4,0.549,-0.078,9.650,47.250,-12.150,-11.374
22.613,35.46,19.32,1019.43,43566,341.14,2934,42,15,4,0.549,-0.039,9.650,47.250,-11.850,-12.342
24.661,35.48,19.26,1019.42,44710,341.14,2933,42,15,4,0.471,-0.078,9.728,46.950,-11.700,-11.374
26.707,35.51,19.23,1019.42,47683,340.08,2934,42,15,4,0.471,-0.078,9.728,47.100,-11.550,-12.100
28.756,35.54,19.22,1019.42,48788,342.03,2936,42,15,4,0.471,-0.118,9.767,46.950,-12.150,-11.858
30.803,35.58,19.22,1019.41,49749,340.87,2933,42,15,4,0.431,-0.118,9.689,46.950,-12.000,-11.374
32.855,35.61,19.21,1019.41,50806,339.46,2934,42,15,4,0.431,-0.078,9.689,47.100,-11.850,-12.100
34.914,35.65,19.20,1019.41,51547,341.41,2934,42,15,4,0.392,-0.078,9.728,47.250,-11.400,-11.858
36.965,35.69,19.17,1019.40,52433,331.94,2936,42,15,4,0.392,-0.039,9.807,46.800,-12.000,-11.616
39.013,35.71,19.13,1019.39,53286,342.31,2934,42,15,4,0.510,-0.235,9.571,47.250,-11.850,-11.858
41.070,35.75,19.08,1019.40,54068,336.99,2935,42,15,4,0.431,-0.078,9.728,46.650,-12.150,-11.858
43.122,35.77,19.06,1019.39,54737,337.50,2935,42,15,4,0.549,-0.118,9.728,47.100,-12.000,-12.100
45.167,35.79,19.03,1019.38,55388,303.90,2932,46,15,5,0.471,-0.118,9.728,47.550,-11.550,-12.342
47.215,35.81,19.00,1019.38,56091,337.34,2935,42,15,4,0.549,-0.078,9.767,47.400,-11.550,-11.132
49.260,35.82,18.92,1019.38,56630,324.01,2936,42,15,4,0.510,-0.118,9.689,47.400,-11.850,-12.100
51.312,35.83,18.90,1019.36,57253,337.77,2933,42,15,4,0.785,-0.039,9.689,47.250,-11.550,-11.374
53.358,35.84,18.90,1019.37,57701,337.23,2930,42,15,4,0.431,-0.039,9.689,47.250,-12.000,-11.616
55.408,35.85,18.88,1019.37,58348,335.90,2929,42,15,4,0.471,-0.078,9.650,46.950,-11.700,-11.858
57.463,35.87,18.85,1019.38,58736,337.23,2932,42,15,4,0.392,-0.118,9.689,47.250,-10.950,-11.616
59.525,35.89,18.83,1019.38,59287,336.61,2932,42,15,4,0.628,-0.039,9.728,47.100,-11.400,-11.616
