timestamp_seconds,temperature_c,humidity_pct
0.012,35.21,20.01
2.070,35.23,20.22
4.134,35.26,20.14
6.181,35.28,19.91
8.234,35.31,19.74
10.289,35.33,19.64
12.340,35.36,19.54
14.394,35.37,19.50
16.453,35.39,19.46
18.505,35.42,19.42
20.555,35.45,19.38
22.613,35.46,19.32
24.661,35.48,19.26
26.707,35.51,19.23
28.756,35.54,19.22
30.803,35.58,19.22
32.855,35.61,19.21
34.914,35.65,19.20
36.965,35.69,19.17
39.013,35.71,19.13
41.070,35.75,19.08
43.122,35.77,19.06
45.167,35.79,19.03
47.215,35.81,19.00
49.260,35.82,18.92
51.312,35.83,18.90
53.358,35.84,18.90
55.408,35.85,18.88
57.463,35.87,18.85
59.525,35.89,18.83
