timestamp_seconds,sensor_time_seconds,measurement,unit,value,raw
0.029,,unlabeled,,115.3,115.3
0.039,8972.992,distance_cm,cm,451.4,"8972.992,""cm"",451.4"
0.121,9039.676,velocity_cmps,cmps,-12.1,"9039.676,""cmps"",-12.1"
0.132,9039.735,distance_cm,cm,451.4,"9039.735,""cm"",451.4"
0.284,9039.839,velocity_cmps,cmps,-15.2,"9039.839,""cmps"",-15.2"
0.295,9039.898,distance_cm,cm,111.7,"9039.898,""cm"",111.7"
0.376,9039.931,velocity_cmps,cmps,-33.4,"9039.931,""cmps"",-33.4"
0.388,9039.991,distance_cm,cm,111.6,"9039.991,""cm"",111.6"
0.469,9040.025,velocity_cmps,cmps,-51.6,"9040.025,""cmps"",-51.6"
0.481,9040.085,distance_cm,cm,111.2,"9040.085,""cm"",111.2"
0.564,9040.117,velocity_cmps,cmps,-36.4,"9040.117,""cmps"",-36.4"
0.571,9040.176,distance_cm,cm,111.2,"9040.176,""cm"",111.2"
0.653,9040.209,velocity_cmps,cmps,-18.2,"9040.209,""cmps"",-18.2"
0.664,9040.268,distance_cm,cm,111.2,"9040.268,""cm"",111.2"
0.744,9040.301,velocity_cmps,cmps,24.3,"9040.301,""cmps"",24.3"
0.755,9040.360,distance_cm,cm,111.3,"9040.360,""cm"",111.3"
0.839,9040.393,velocity_cmps,cmps,39.4,"9040.393,""cmps"",39.4"
0.851,9040.455,distance_cm,cm,111.5,"9040.455,""cm"",111.5"
0.934,9040.488,velocity_cmps,cmps,15.2,"9040.488,""cmps"",15.2"
0.944,9040.549,distance_cm,cm,111.2,"9040.549,""cm"",111.2"
1.026,9040.582,velocity_cmps,cmps,12.1,"9040.582,""cmps"",12.1"
1.035,9040.641,distance_cm,cm,59.7,"9040.641,""cm"",59.7"
1.117,9040.673,velocity_cmps,cmps,-12.1,"9040.673,""cmps"",-12.1"
1.127,9040.733,distance_cm,cm,111.2,"9040.733,""cm"",111.2"
1.212,9040.765,velocity_cmps,cmps,-39.4,"9040.765,""cmps"",-39.4"
1.222,9040.828,distance_cm,cm,68.1,"9040.828,""cm"",68.1"
1.304,9040.860,velocity_cmps,cmps,-18.2,"9040.860,""cmps"",-18.2"
1.314,9040.919,distance_cm,cm,68.1,"9040.919,""cm"",68.1"
1.396,9040.952,velocity_cmps,cmps,-15.2,"9040.952,""cmps"",-15.2"
1.407,9041.011,distance_cm,cm,111.1,"9041.011,""cm"",111.1"
1.487,9041.044,velocity_cmps,cmps,6.1,"9041.044,""cmps"",6.1"
1.498,9041.103,distance_cm,cm,68.1,"9041.103,""cm"",68.1"
1.578,9041.135,velocity_cmps,cmps,15.2,"9041.135,""cmps"",15.2"
1.589,9041.194,distance_cm,cm,59.7,"9041.194,""cm"",59.7"
1.676,9041.226,velocity_cmps,cmps,30.3,"9041.226,""cmps"",30.3"
1.685,9041.289,distance_cm,cm,111.5,"9041.289,""cm"",111.5"
1.765,9041.322,velocity_cmps,cmps,45.5,"9041.322,""cmps"",45.5"
1.776,9041.382,distance_cm,cm,111.5,"9041.382,""cm"",111.5"
1.929,9041.485,velocity_cmps,cmps,-27.3,"9041.485,""cmps"",-27.3"
1.939,9041.544,distance_cm,cm,112.3,"9041.544,""cm"",112.3"
2.021,9041.577,velocity_cmps,cmps,-30.3,"9041.577,""cmps"",-30.3"
2.032,9041.637,distance_cm,cm,111.3,"9041.637,""cm"",111.3"
2.113,9041.669,velocity_cmps,cmps,-33.4,"9041.669,""cmps"",-33.4"
2.124,9041.728,distance_cm,cm,59.7,"9041.728,""cm"",59.7"
2.206,9041.761,velocity_cmps,cmps,-18.2,"9041.761,""cmps"",-18.2"
2.216,9041.820,distance_cm,cm,111.3,"9041.820,""cm"",111.3"
2.295,9041.853,velocity_cmps,cmps,3.0,"9041.853,""cmps"",3.0"
2.307,9041.912,distance_cm,cm,111.4,"9041.912,""cm"",111.4"
2.388,9041.944,velocity_cmps,cmps,18.2,"9041.944,""cmps"",18.2"
2.400,9042.004,distance_cm,cm,111.4,"9042.004,""cm"",111.4"
2.481,9042.036,velocity_cmps,cmps,69.8,"9042.036,""cmps"",69.8"
2.491,9042.096,distance_cm,cm,111.3,"9042.096,""cm"",111.3"
